date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-03-05,183.05,184.59,177.57,180.74,180.74,119660758,119660758,-2.31,-1.26,181.4875,"March 05, 24",-0.0126
2024-03-04,198.73,199.75,186.72,188.14,188.14,134334869,134334869,-10.59,-5.33,193.335,"March 04, 24",-0.0533
2024-03-01,200.52,204.52,198.5,202.64,202.64,82243119,82243119,2.12,1.06,201.545,"March 01, 24",0.0106
2024-02-29,204.18,205.28,198.45,201.88,201.88,85906974,85906974,-2.3,-1.13,202.4475,"February 29, 24",-0.0113
2024-02-28,200.42,205.3,198.44,202.04,202.04,99806173,99806173,1.62,0.8083,201.55,"February 28, 24",0.008083
2024-02-27,204.04,205.6,198.26,199.73,199.73,108645412,108645412,-4.31,-2.11,201.9075,"February 27, 24",-0.0211
2024-02-26,192.29,201.78,192.0,199.4,199.4,111747116,111747116,7.11,3.7,196.3675,"February 26, 24",0.037
2024-02-23,195.31,197.57,191.5,191.97,191.97,78841917,78841917,-3.34,-1.71,194.0875,"February 23, 24",-0.0171
2024-02-22,194.0,198.32,191.36,197.41,197.41,92739461,92739461,3.41,1.76,195.2725,"February 22, 24",0.0176
2024-02-21,193.36,199.44,191.95,194.77,194.77,103844008,103844008,1.41,0.72921,194.88,"February 21, 24",0.0072921
2024-02-20,196.13,198.6,189.13,193.76,193.76,104545762,104545762,-2.37,-1.21,194.405,"February 20, 24",-0.0121
2024-02-16,202.06,203.17,197.4,199.95,199.95,111346705,111346705,-2.11,-1.04,200.645,"February 16, 24",-0.0104
2024-02-15,189.16,200.88,188.86,200.45,200.45,120831762,120831762,11.29,5.97,194.8375,"February 15, 24",0.0597
2024-02-14,185.3,188.89,183.35,188.71,188.71,81202987,81202987,3.41,1.84,186.5625,"February 14, 24",0.0184
2024-02-13,183.99,187.26,182.11,184.02,184.02,86759478,86759478,0.03,0.01630523,184.345,"February 13, 24",0.0001630523
2024-02-12,192.11,194.73,187.28,188.13,188.13,95498597,95498597,-3.98,-2.07,190.5625,"February 12, 24",-0.0207
2024-02-09,190.18,194.12,189.48,193.57,193.57,84476347,84476347,3.39,1.78,191.8375,"February 09, 24",0.0178
2024-02-08,189.0,191.62,185.58,189.56,189.56,83034043,83034043,0.56,0.2963,188.94,"February 08, 24",0.002963
2024-02-07,188.18,189.79,182.68,187.58,187.58,111535217,111535217,-0.6,-0.31884,187.0575,"February 07, 24",-0.0031884
2024-02-06,177.21,186.49,177.11,185.1,185.1,122675954,122675954,7.89,4.45,181.4775,"February 06, 24",0.0445
2024-02-05,184.26,184.68,175.01,181.06,181.06,134294447,134294447,-3.2,-1.74,181.2525,"February 05, 24",-0.0174
2024-02-02,185.04,188.69,182.0,187.91,187.91,110612672,110612672,2.87,1.55,185.91,"February 02, 24",0.0155
2024-02-01,188.5,189.88,184.28,188.86,188.86,91843275,91843275,0.36,0.19098,187.88,"February 01, 24",0.0019098
2024-01-31,187.0,193.97,185.85,187.29,187.29,103221430,103221430,0.295,0.15508,188.5275,"January 31, 24",0.0015508
2024-01-30,195.33,196.36,190.61,191.59,191.59,109982327,109982327,-3.74,-1.91,193.4725,"January 30, 24",-0.0191
2024-01-29,185.63,191.48,183.67,190.93,190.93,125013148,125013148,5.3,2.86,187.9275,"January 29, 24",0.0286
2024-01-26,185.5,186.78,182.1,183.25,183.25,107343231,107343231,-2.25,-1.21,184.4075,"January 26, 24",-0.0121
2024-01-25,189.7,193.0,180.06,182.63,182.63,198076787,198076787,-7.07,-3.73,186.3475,"January 25, 24",-0.0373
2024-01-24,211.88,212.73,206.77,207.83,207.83,123369932,123369932,-4.05,-1.91,209.8025,"January 24, 24",-0.0191
2024-01-23,211.3,215.65,207.75,209.14,209.14,106605946,106605946,-2.16,-1.02,210.96,"January 23, 24",-0.0102
2024-01-22,212.26,217.8,206.27,208.8,208.8,117952527,117952527,-3.46,-1.63,211.2825,"January 22, 24",-0.0163
2024-01-19,209.99,213.19,207.56,212.19,212.19,102260343,102260343,2.2,1.05,210.7325,"January 19, 24",0.0105
2024-01-18,216.88,217.45,208.74,211.88,211.88,108595431,108595431,-5.0,-2.31,213.7375,"January 18, 24",-0.0231
2024-01-17,214.86,215.67,212.01,215.55,215.55,103164400,103164400,0.69,0.32114,214.5225,"January 17, 24",0.0032114
2024-01-16,215.1,223.49,212.18,219.91,219.91,115355046,115355046,4.81,2.24,217.67,"January 16, 24",0.0224
2024-01-12,220.08,225.34,217.15,218.89,218.89,123043812,123043812,-1.19,-0.54071,220.365,"January 12, 24",-0.0054071
2024-01-11,230.57,230.93,225.37,227.22,227.22,105873612,105873612,-3.35,-1.45,228.5225,"January 11, 24",-0.0145
2024-01-10,235.1,235.5,231.29,233.94,233.94,91628502,91628502,-1.16,-0.49341,233.9575,"January 10, 24",-0.0049341
2024-01-09,238.11,238.96,232.04,234.96,234.96,96705664,96705664,-3.15,-1.32,236.0175,"January 09, 24",-0.0132
2024-01-08,236.14,241.25,235.3,240.45,240.45,85166580,85166580,4.31,1.83,238.285,"January 08, 24",0.0183
2024-01-05,236.86,240.12,234.9,237.49,237.49,92488939,92488939,0.63,0.26598,237.3425,"January 05, 24",0.0026598
2024-01-04,239.25,242.7,237.73,237.93,237.93,102629283,102629283,-1.32,-0.55172,239.4025,"January 04, 24",-0.0055172
2024-01-03,244.98,245.68,236.32,238.45,238.45,121082599,121082599,-6.53,-2.67,241.3575,"January 03, 24",-0.0267
2024-01-02,250.08,251.25,244.41,248.42,248.42,104654163,104654163,-1.66,-0.66379,248.54,"January 02, 24",-0.0066379
